idx,text,true_label,pred_label,max_prob,pred_prob,centroid_score
0,"I left the house, the horrid scene of the last night’s contention, and walked on the beach of the sea, which I almost regarded as an insuperable barrier between me and my fellow creatures; nay, a wish that such should prove the fact stole across me. I desired that I might pass my life on that barren rock, wearily, it is true, but uninterrupted by any sudden shock of misery. If I returned, it was to be sacrificed or to see those whom I most loved die under the grasp of a dæmon whom I had myself created. I walked about the isle like a restless spectre, separated from all it loved and miserable in the separation. When it became <TIME>, and the sun rose higher, I lay down on the grass and was overpowered by a deep sleep. I had been awake the whole of <TIME>, my nerves were agitated, and my eyes inflamed by watching and misery. The sleep into which I now sank refreshed me; and when I awoke, I again felt as if I belonged to a race of human beings like myself, and I began to reflect upon what had passed with greater composure; yet still the words of the fiend rang in my ears like a death-knell; they appeared like a dream, yet distinct and oppressive as a reality. The sun had far descended, and I still sat on the shore, satisfying my appetite, which had become ravenous, with an oaten cake, when I saw a fishing-boat land close to me, and one of the men brought me a packet; it contained letters from <LOC>, and one from <PER> entreating me to join him. He said that he was wearing away his time fruitlessly where he was, that letters from the friends he had formed in <LOC> desired his return to complete the negotiation they had entered into for his Indian enterprise. He could not any longer delay his departure; but as his journey to <LOC> might be followed, even sooner than he now conjectured, by his longer voyage, he entreated me to bestow as much of my society on him as I could spare. He besought me, therefore, to leave my solitary isle and to meet him at <LOC>, that we might proceed southwards together. This letter in a degree recalled me to life, and I determined to quit my island at the expiration of <DATE>.",unknown,EdgarAllanPoe,0.9845234155654907,0.9845234155654907,-0.624291181564331
1,"I should like to know why?” “Why, she got sopping wet in that brook <DATE>, and here, just as I knew it would be, she's got a fever.” “A fever, eh?” repeated Mr. <PER> in a startled tone. “Yes, sir, and what's more, when I told her you would send for the doctor, it was worse than about the rubbers. She talked all the rubbish you can think of. I'm sure she's flighty--said she never had a doctor, that she always got well, and even cried when I told her that that was nonsense.” “Was she ill <TIME>, do you think?” “I don't know. I found her trying to get up when I went to her room, and I saw at once that she wasn't able to. “Well, Mrs. <PER>, all I can do is to ask your pardon for adding so much to your cares. Let <PER> bring me my eggs, and then, if you please, telephone for Dr. <PER> to come over before his office hour.” “I will, sir, but I'll ask you to see the child before you go to town and make her promise to behave about the doctor. You'd have thought I was asking to let in a roaring lion.” “Shy, probably.” “Shy! That child shy!” thought Mrs. <PER>. “She knows Dr. <PER>,” continued the broker, “and if you had thought to mention him, she wouldn't have made any fuss.” “If you'll excuse me differing with you, Mr. <PER>, I don't think that child's got a shy bone in her body. In the trolley car <DATE>, didn't she make up to a perfect stranger! She eyed him and fingered that little gold pin she wears, till he smiled and touched <NUM> of the same pattern in his own cravat. Young as she is, she's some kind of a free mason or secret society, you may be sure. I actually saw him take her hand and give her the grip as he got out of the car. Why you know who it is, it was Mr. <PER> of Highland Street.” “H'm. You are imaginative, Mrs. <PER>. Mr. <PER> is fond of children, and <ORG> has a friendly way of looking at people.” The housekeeper bridled. “Well, all is, I guess, you'll find I ain't imaginative when you come to talk with her about the doctor,” was the firm response.",unknown,ArthurConanDoyle,0.7784321308135986,0.7784321308135986,-4.227915287017822
4,"That which is <NUM> to be noted in looking carefully at this draught of a new <ORG> which the plan of <ORG> includes,--that which the careful reader cannot fail to note, is the fact, that throughout all this most complete and radical exhibition of the subject (for brief and casual as that exhibition seems on the surface, the science and art from its root to its outermost branches, is there)--throughout all this exhibition, under all the superficial divisions and subdivisions of the subject, it is still the method of PROGRESSION which is set forth here: under all these divisions, there is still <NUM> point made; it is still the Art of a Tradition which is designed to reserve the _secrets_ of science, and the nobler arts of it, for the minds and ages that are able to receive them. This new art of tradition, with its new organs and methods, and its living and beautiful illustration, when once we look through the network of it to the unity within, this new rhetoric of science, is in fact the instrument which the philosopher would substitute, if he could, for those more cruel weapons which the men of his time were ready to take in hand; and it is the instrument with which he would forestall those yet more fearful political convulsions that already seemed to his eye to threaten from afar the social structures of Christendom; it is the beautiful and bloodless instrumentality whereby the mind of the world is to be wrenched insensibly from its old place without 'breaking all.' For neither does this author, any more than that other, who has been quoted here on this point, think it wise for the philosopher to rush madly out of his study with his <ORG>, and bawl to the <NUM> passer by in scientific terms the last result of his science, 'lording it over his ignorance' with what can be to him only a _magisterial_ announcement. For what else but that can it be, for instance, to tell the poor peasant, on his way to market, with his butter and eggs in his basket, planting his feet on the firm earth without any qualms or misgivings, and measuring his day by the sun's great toil and rejoicing race in heaven, what but this same magisterial teaching is it, to stop him, and tell him to his bewildered face that the sun never rises or sets, and that the earth is but a revolving ball? Instead of giving him a truth you have given him a falsehood.",unknown,EdgarAllanPoe,0.9812493920326233,0.9812493920326233,-0.5917238593101501
7,"The water that poured plentifully from his cloak evinced that he had but just arrived at the <LOC>; but, whatever was his object, he seemed not to have attained it in meeting with the young men. He paused near the door, as if meditating whether to retire. ""My intrusion is altogether owing to a mistake, either of the landlord's or mine,"" he said. ""I came hither to seek another person; but, as I could not mention his name, my inquiries were rather vague."" ""I thank Heaven for the chance that sent you to us,"" replied <PER>, rousing himself. ""<PER> is wretched company; and a duller <TIME> have I never spent. We will renew our fire and our wine, and you must sit down with us. And for the man you seek,"" he continued in a whisper, ""he left the inn within <TIME> after we encountered him. I inquired of <PER> <TIME>."" <PER> did not express his doubts of the correctness of the information on which <PER> seemed to rely. Laying aside his cloak, he accepted his invitation to make one of the party, and sat down by the fireside. The aspect of the evening now gradually changed. A strange wild glee spread from one to another of the party, which, much to the surprise of his companions, began with and was communicated from, <PER>. He seemed to overflow with conceptions inimitably ludicrous, but so singular, that, till his hearers had imbibed a portion of his own spirit, they could only wonder at, instead of enjoying them. His applications to the wine were very unfrequent; yet his conversation was such as one might expect from a bottle of champagne endowed by a fairy with the gift of speech. The secret of this strange mirth lay in the troubled state of his spirits, which, like the vexed ocean at <TIME> (if the simile be not too magnificent), tossed forth a mysterious brightness. The undefined apprehensions that had drawn him to the inn still distracted his mind; but, mixed with them, there was a sort of joy not easily to be described. By degrees, and by the assistance of the wine, the inspiration spread, each <NUM> contributing such a quantity, and such quality of wit and whim, as was proportioned to his genius; but each one, and all, displaying a greater share of both than they had ever been suspected of possessing. At length, however, there was a pause,--the deep pause of flagging spirits, that always follows mirth and wine.",unknown,EdgarAllanPoe,0.9888280630111694,0.9888280630111694,-0.3817507326602936
8,"He knew that there would come a time when all this tragic mirth--sporting with the edged tools of tyranny--playing around the edge of the great axe itself--would be indeed safe play; when his Fool could open his budget, and unroll his bitter jests--crushed together and infolded within themselves so long--and have a world to smile with him, and not the few who could unfold them only. And that--that was 'the humour of it.' Yes, with all their philosophy, these plays are <ORG> still. There's no spoiling the 'tragical mirth' in them. But we are told, on the most excellent contemporaneous authority--on the authority of one who was in the inmost heart of all this Poet's secrets--that 'as we often judge of the greater by the less, so the very pastimes of great men give an honourable idea to the clear-sighted of THE SOURCE FROM WHICH THEY SPRING.' PART II. <PER>; OR, THE EMPIRICAL TREATMENT IN DISEASES OF THE COMMON-WEAL EXPLAINED. Good does not necessarily succeed evil; another evil may succeed, and a worse, as it happened with Caesar's killers, who brought the republic to such a pass that they had reason to repent their meddling with it.... It must be examined in what condition THE ASSAILANT is.--_Michael <PER>_. _Citizen_. I fear there will a worse one come in his place. _<PER>_. He were no lion, were not Romans hinds. <PER> THE DEATH OF TYRANNY; OR, THE QUESTION OF THE <ORG>. _<ORG>_. '<PER> that you mean: Is it _not_, <PER>? _<PER>_. Let it be WHO IT is, for Romans _now_ Have thewes and limbs like to _their_ ancestors. We all stand up against the _spirit_ of Caesar. _<PER>_. Yes, when that <ORG>, which rested alike upon the Play-house, the <ORG>, the Pulpit, and _<ORG>_ itself, was still throttling everywhere the free voice of the nation--when a single individual could still assume to himself, or to herself, the exclusive privilege of deliberating on all those questions which men are most concerned in--questions which involve all their welfare, for this life and the life to come, certainly '_the Play, the Play was the thing_.' It was a vehicle of expression which offered incalculable facilities for evading these restrictions. It was the only one then invented which offered then any facilities whatever for the discussion of that question in particular--which was already for that age the question.",unknown,MarkTwain,0.8908271789550781,0.8908271789550781,-4.1413068771362305
12,"_Thou, only fit this argument to write_, In whose high thoughts _pleasure hath built her bower_, And dainty love learn'd sweetly to indite. My rhymes, I know, unsavoury are and soure To taste the streams, which _like a golden showre_, Flow from thy fruitful head of thy love's praise. Fitter, perhaps, _to thunder martial stowre_, When thee so list thy _tuneful_ thoughts to raise, Yet _till that thou thy poem wilt make known_, Let thy fair <PER>'s praises be thus rudely shown.' [Footnote: 'Shine forth, thou Star of Poets, and with _rage_ _Or influence chide_, or _cheer_ the drooping stage.' <PER>.] 'Of me,' says <ORG>, in a response to this obscure partner of his works and arts,--a response not less mysterious, till we have found the solution of it, for it is an enigma. 'Of me _no lines_ are loved, _no letters_ are of price, Of all that speak the English tongue, but those of _thy device_.' [It was a '_device_' that symbolised _all_. It was a _circle_ containing the alphabet, or the _A B C_, and the esoteric meaning of it was '_all_ in _each_,' or _all_ in _all_, the new doctrine of the _unity_ of science (the '_Ideas_' of the New '_Academe_'). That was the token-name under which a great Book of this <ORG> was issued.] It is to <ORG>, <ORG>, and the Poet of the 'Faery-Queene,' and the rest of that courtly company of <ORG>, that the contemporary author in <ORG> alludes, with a special commendation of <ORG>'s vein, as the 'most lofty, insolent, and passionate,' when he says,' they have _writ_ excellently well, if their _doings_ could be found out and made public with the rest.' <ORG>. <ORG>'S SCHOOL, CONTINUED.--THE NEW ACADEMY. EXTRACT FROM A LATER CHAPTER OF <ORG>'S LIFE. _<PER>_. Where will the old Duke live? _<PER>_. They say _he is already_ in the forest of _Arden_, and a many merry men with him; and there they live like the old <PER> of <LOC>: they say many young gentlemen flock to him every day, and fleet the time carelessly as they did in the golden world. As You Like It. _<PER>_ . Flout 'em and skout'em; and skout'em and flout 'em, _Thought_ is free. _Cal_. That's not the tune. _<PER>_. What is this _same?_ _Trin_. This is the tune of our catch, played by--the picture of--_Nobody_.",unknown,EdgarAllanPoe,0.9859346151351929,0.9859346151351929,-0.37486281991004944
13,"Nay, '<PER>' himself, is a duke's son, we are told; though that circumstance does not hinder him from giving, with much frankness and scientific accuracy, the particulars of those personal pursuits, and tastes, and habits, incidental to that particular station in life to which it has pleased <PER> to call _him_. And so by means of that poetic order, which is the Providence of this piece, and that design which 'tunes the harmony of it,' it is a duke on whom that low correction, 'such as basest and most contemned wretches are punished with,' is exhibited, in spite of his indignant protest. _<PER>_. Call not your stocks for me. _I_ serve the king, On _whose employment_ I was sent to you. You shall do small _respect_, show too bold malice Against the _grace_ and _person_ of my master, Stocking his messenger. _<PER>_. Fetch forth the stocks. As I have life and honour, there shall he sit till <TIME>.' _<PER>_. Till noon,--till night my lord, and <TIME> too. --The king must take it ill That _he_, so slightly valued in his messenger, Should have him thus restrained. _<PER>_. I'll answer that. _<PER>_. Put in his legs. But then it must be confessed that the poet was not without some kind of precedent for this bold dramatic proceeding. He had, indeed, by means of the culture and diligent use of that gift of forethought, with which nature had so largely endowed him, been enabled thus far to keep his own person free from any such tangible encumbrance, though the '_lameness_' with which fortune had afflicted him personally, is always his personal grievance; but he had seen in his own time, ancient men and reverend,--men who claimed to be the ministers of heaven, and travelling on its errands, arrested, and subjected to this ludicrous indignity: he had seen this open stop, this palpable, corporeal, unfigurative arrest put upon the activity of scholars and thinkers in his time, conscientious men, between whose master and the state, there was a growing quarrel then, a quarrel that these proceedings were not likely to pacify. From <TIME> till night, they, too, had sat thus, and <TIME> too, they had endured that shameful lodging.",unknown,EdgarAllanPoe,0.9573773145675659,0.9573773145675659,-1.6513774394989014
15,"Will you stay?"" <PER> nodded. ""You like to dance, <PER>. You stay, too."" ""Oh, not in this little place where everybody will be stepping on every one else. Beside, <PER>'s beau is waiting outside to take us home. I will go with Miss <PER> and tell <PER> to come back for you in an hour. I suppose you don't need a chaperon for I don't see your ideal here to-night, <PER>,"" in a lowered voice. ""You were right about Mr. <PER>. Let us pray that women don't make a complete fool of him. You don't look just right, dear. Don't stay late. I'll tell <PER> to come back in <TIME>. Oh, there is that comical Mr. <PER>."" Mrs. <PER> sailed up to him. ""Thank you so much for <TIME>. You were delightful, Mr. <PER>, and Mr. <PER> is most fortunate in having you."" ""But you're not going, Mrs. <PER>?"" ""Yes; good-night."" ""No, not until you've danced once with me. There, the music is just going to begin."" And, sure enough, Miss <PER> stood back and waited while Mrs. <PER>'s little satin-clad feet tripped lightly around in the dance with the volatile <PER>, and she talked to him about the date in <DATE> and promised she would dance with him again at that time. Mrs. <PER> and <PER> had been enjoying the concert and had told <PER> so, and now stood back watching the dancing. ""Would you like to learn to dance?"" asked Mrs. <PER>. ""No."" ""It sounds better to say, 'No, Mrs. <PER>,' or, 'No, I thank you.'"" ""Then I will,"" said the boy. ""I like to dance,"" said Mrs. <PER>, ""and I wish you would learn."" ""Then I will,"" said the boy again. The music had thrilled his artist soul. It seemed all a part of the entrancing night, a part of the safe world of love into which he had been guided. CHAPTER XIX MOONLIGHT Mrs. <PER> looked back into the hall from the piazza before she stepped into the motor. <PER> was already dancing with <PER>. She watched their smooth movements for <TIME>, then turned to Mrs. <PER> who had just emerged with her boy. ""This--this gathering, this settlement here, seems rather like a family party, doesn't it?"" she said, with a sort of troubled curiosity.",unknown,VirginiaWoolf,0.979397714138031,0.979397714138031,-0.7937653660774231
17,"CHAPTER V. HE PURCHASES HIS SEA-WARDROBE, AND ON A DISMAL RAINY DAY PICKS UP HIS BOARD AND LODGING ALONG THE WHARVES The <NUM> thing I now did was to buy a little stationery, and keep my promise to my mother, by writing her; and I also wrote to my brother informing him of the voyage I purposed making, and indulging in some romantic and misanthropic views of life, such as many boys in my circumstances, are accustomed to do. The rest of <MONEY> and a half I laid out <TIME> in buying a red woolen shirt near <LOC>, a tarpaulin hat, which I got at an out-door stand near Peck Slip, a belt and jackknife, and <NUM> <NUM> trifles. After these purchases, I had only one penny left, so I walked out to the end of the pier, and threw the penny into the water. The reason why I did this, was because I somehow felt almost desperate again, and didn’t care what became of me. But if the penny had been a dollar, I would have kept it. I went home to dinner at Mr. <PER>’, and they welcomed me very kindly, and Mrs. <PER> kept my plate full all the time during dinner, so that I had no chance to empty it. She seemed to see that I felt bad, and thought plenty of pudding might help me. At any rate, I never felt so bad yet but I could eat a good dinner. And once, <DATE> afterward, when I expected to be killed <DATE>, I remember my appetite was very keen, and I said to myself, “Eat away, <PER>, while you can, for this may be the last supper you will have.” After dinner I went into my room, locked the door carefully, and hung a towel over the knob, so that no one could peep through the keyhole, and then went to trying on my red woolen shirt before the glass, to see what sort of a looking sailor I was going to make. As soon as I got into the shirt I began to feel sort of warm and red about the face, which I found was owing to the reflection of the dyed wool upon my skin. After that, I took a pair of scissors and went to cutting my hair, which was very long. I thought every little would help, in making me a light hand to run aloft. <TIME> I bade my kind host and hostess good-by, and left the house with my bundle, feeling somewhat misanthropical and desperate again.",HermanMelville,MarkTwain,0.6997233033180237,0.6997233033180237,-4.6225810050964355
18,"I am, however, in good spirits: my men are bold and apparently firm of purpose, nor do the floating sheets of ice that continually pass us, indicating the dangers of the region towards which we are advancing, appear to dismay them. We have already reached a very high latitude; but it is the height of <DATE>, and although not so warm as in <LOC>, the southern gales, which blow us speedily towards those shores which I so ardently desire to attain, breathe a degree of renovating warmth which I had not expected. No incidents have hitherto befallen us that would make a figure in a letter. <NUM> or <NUM> stiff gales and the springing of a leak are accidents which experienced navigators scarcely remember to record, and I shall be well content if nothing worse happen to us during our voyage. <PER>, my dear <PER>. Be assured that for my own sake, as well as yours, I will not rashly encounter danger. I will be cool, persevering, and prudent. But success _shall_ crown my endeavours. Wherefore not? Thus far I have gone, tracing a secure way over the pathless seas, the very stars themselves being witnesses and testimonies of my triumph. Why not still proceed over the untamed yet obedient element? What can stop the determined heart and resolved will of man? My swelling heart involuntarily pours itself out thus. But I must finish. Heaven bless my beloved sister! <ORG> _To Mrs. <PER>, <LOC>._ <DATE> So strange an accident has happened to us that I cannot forbear recording it, although it is very probable that you will see me before these papers can come into your possession. <DATE>) we were nearly surrounded by ice, which closed in the ship on all sides, scarcely leaving her the sea-room in which she floated. Our situation was somewhat dangerous, especially as we were compassed round by a very thick fog. We accordingly lay to, hoping that some change would take place in the atmosphere and weather. <TIME> the mist cleared away, and we beheld, stretched out in every direction, vast and irregular plains of ice, which seemed to have no end. Some of my comrades groaned, and my own mind began to grow watchful with anxious thoughts, when a strange sight suddenly attracted our attention and diverted our solicitude from our own situation.",unknown,EdgarAllanPoe,0.5851254463195801,0.5851254463195801,-6.772578716278076
